Id,Title,Description,Author,Platform,Url,Genre,ContentHashTag,View,Rating,BookMarkCount,LikeCount,Type,IsEnd,ImgUrl
68,"종말 후, 세상의 구원자가 되었다",나그네82 - 세상이 멸망한 지 3년째가 되던 날. 흘러가는 대로 무의미하게 살아가던 나에게 세상을 구할 수 있는 기회가 주어졌다.,나그네82,문피아,https://novel.munpia.com/414570,"퓨전, 판타지","#판타지#퓨전#아카데미#오컬트#이세계#기사#검은머리#노력가#이종족#포스트아포칼립스",1533.0,0.0,18,20,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/fusion-09.jpg
69,성류성세 [星流聲勢],"갓파선생 - 운석에 맞아 무림 세계 한 가운데에 떨어진 정성아 무림 세계에서 버려진 정성아는 신비한 무공을 익히게 된다. 다시 무림 세계를 찾아 갔지만, 그 때문에 스승이 죽게 되고 만다. 정성아는 스승을 죽인 범인을 찾으러 무림 세계에 뛰어들게 되는데......",갓파선생,문피아,https://novel.munpia.com/417761,무협,"#무협",2074.0,0.0,12,66,NOVEL,NOT,https://cdn1.munpia.com/v2/files/cover/2024/0518/11/ETmzD77-IAA
70,절대수선,백춘식 - 천화공법이라는 고대 제련술을 기연으로 얻은 이현. 법기를 무한으로 제련해서 무한으로 강해진다!  반드시 최강의 신선이 되고야 말리라!,백춘식,문피아,https://novel.munpia.com/426083,"무협, 퓨전","#판타지#퓨전#선협#천재",7189.0,0.0,126,206,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/heroism.jpg
71,핵미사일을 얻었다,나무수염 - 버튼을 누르시겠습니까?,나무수염,문피아,https://novel.munpia.com/427458,"현대판타지, 퓨전","#현대판타지#게임#게이트#게임시스템#레이드#시스템#이능력#이세계#능력자#악마",464.0,0.0,14,11,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg
72,어긋난 세상의 중심에는,"환상계 - 원하든 원치 않든 세상은 격변을 맞이했다. 마법이 생긴 것이다. 모든 사람이 마법을 쓸 수 있는 세상이 도래했다. 하지만 애석하게도 마법을 쓰기는커녕 마력에 적응을 못한 소수의 인간들도 있었다. ""하..."" 자리에 주저앉아 몸이 재가 되어 사라져가는 청년 그렇게 사라진...",환상계,문피아,https://novel.munpia.com/425434,현대판타지,"#현대판타지#아카데미#환생",359.0,0.0,4,1,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg
73,그리스 신들의 한국 생존기,에로스는개 - 우린 그리스 신들인데.. 여긴 대한민국이라고? - 그리스 신들의 눈물겨운 인간 생활! 그리고 그들의 극한 직업!! - AI시대 그리스 신들의 웃픈 新트로이 전쟁이 펼쳐진다.,에로스는개,문피아,https://novel.munpia.com/427531,"판타지, 현대판타지","#현대판타지#재벌#연예계#이능력#전쟁#능력자#먼치킨#빌런#신",236.0,0.0,6,27,NOVEL,NOT,https://cdn1.munpia.com/v2/files/cover/2024/0727/22/EZRnsXBxMAA
74,골드나이트(Golden Knight),루프00 - 기나긴 여정이었다. 많은 이들이 무모한 일이라며 말렸지만. 그래도 나아갔다. 하지만. 나아가면 나아갈 수록 세계의 진실과 더불어 계속해서 절망만이 덮쳐왔다. 마주친 현실에 포기하고 주저앉을 때도 있었지만. 다시금 일어나 나아갔다. 오직 한 사람을 위해서.  내가 곁에 ...,루프00,문피아,https://novel.munpia.com/422121,판타지,없음,2333.0,0.0,11,1,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/fantasy-16.jpg
75,레이나르트 연대기,"제이모 - 레이나르트 연대기는 가상국가 프란디아를 배경으로 벌어지는 각종 암투와 전쟁, 사랑을 그리고 있으며 유럽의 중세-르네상스-근대초반을 시대적 배경으로 한 유사역사소설입니다. 본격적인 이야기에 앞선 프롤로그로 레이나르트의 아버지 에드의 이야기를 담고 있습니다. 여기서 시작된...",제이모,문피아,https://novel.munpia.com/425999,"판타지, 대체역사","#판타지#대체역사#히어로#군주#능력자#세계사",902.0,0.0,9,5,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/fantasy.jpg
76,완결된 결말[개정판],pawnknight - 완결된 결말. 어떻게 보면 과거와 미래가 섞여있는 역설적인 제목. 그럼에도 이 제목만큼 어울리는 것도 없다. 이 세계의 결말은 정해졌으니.,pawnknight,문피아,https://novel.munpia.com/418012,판타지,"#판타지#게임#게임시스템#시스템",131.0,0.0,1,0,NOVEL,NOT,https://cdn1.munpia.com/v2/files/cover/2024/0519/18/ETtdLdjYUAA
77,음마환생,주해랑 - 여인 천 명을 희롱한 음마 단우진은 갇혔다. 여자도 남자도 아닌 저주받은 몸 안에.,주해랑,문피아,https://novel.munpia.com/412390,무협,"#무협#격투#복수#하렘#환생",19792.0,0.0,47,469,NOVEL,NOT,https://cdn1.munpia.com/v2/files/cover/2024/0508/10/ESy_VaE8QAA
78,무인도 각성합니다.,한량백수 - 헌터는 거진 망둥이다. 노력 없이 얻은 능력으로 시민들 피나 빨아먹는 한심한 작자들이 태반이다. 피땀 흘려 일하는 자들이 밥그릇은 지켜야 하지 않겠나.,한량백수,문피아,https://novel.munpia.com/427939,"퓨전, 판타지","#현대판타지#게이트#이능력#회귀#무인#각성",49.0,0.0,3,0,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/fusion.jpg
79,"미래에서 온 안드로이드,  빌런이 되었다.",iamdemon - 나는 전쟁의 신이고 풍요의 신이며 기술 문명의 신이다. 그리고 한때 인간인 줄 알았다. 2050년 미래에서 온 생체형 안드로이드 마르스. 2002년 대한민국에 불시착하다. 가즈아!!,iamdemon,문피아,https://novel.munpia.com/420467,현대판타지,"#사이보그#나노머신#대한민국#불멸",83699.0,0.0,362,2227,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg
80,월야공자(검마맹편),박이 - 월야공자 진조범의 일대기를 그린 이야기입니다.  우선 검마맹과 관련된 이야기로 1부를 연재합니다.  모쪼록 재미있게 즐겨주시면 감사하겠습니다.,박이,문피아,https://novel.munpia.com/421913,무협,"#무협",22817.0,0.0,59,454,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/heroism.jpg
81,몰락 영주로 환생한 노예 검투사의 성공담,"더콰치 - '…바깥에서 바라보는 해는 어떤 느낌일까' 자유를 꿈꾸며 매 순간 사선을 넘나들던 불패의 노예 검투사, 95번!  죽음과 함께 찾아 온 새로운 몸으로 기억을 가진 채 환생한 그가 마녀와의 만남을 시작으로 새로운 삶이 시작된다.",더콰치,문피아,https://novel.munpia.com/422408,"판타지, 전쟁·밀리터리","#판타지#전쟁_밀리터리#영지#전쟁#정치#중세#군주#먼치킨#검투사",6375.0,0.0,33,93,NOVEL,NOT,https://cdn1.munpia.com/v2/files/cover/2024/0619/13/EWL33-jDMAA
82,감히 누가 내 남편을 울렸어?,"따끈유자차 - “됐구요, 미안하면 앞으로나 잘 하세요!"" “알긴 아시네요? 모두 그 쪽 탓이에요. 앞으로는 절대 속이지 마세요. 아시겠어요?”  ""불안하면, 걱정되면 칼트론은 그냥 절 믿으세요. 아시겠어요?"" 괴로워 미칠 것 같은 상황도 가볍게 만드는 당돌여주 레이나와 ""강해질 겁니...",따끈유자차,문피아,https://novel.munpia.com/398470,"로맨스, 판타지","#판타지#이능력#힐링#마법사#능력자#로맨스#로맨스판타지#서양판타지#구원#순애",3745.0,0.0,13,39,NOVEL,NOT,https://cdn1.munpia.com/v2/files/cover/2024/0330/16/EPrbTOibYAA
83,회귀한 테이머의 AI 마법 공방,"세옹 - EX급 연금술사의 히든 공방,  펫들이 자꾸 직원으로 지원한다.",세옹,문피아,https://novel.munpia.com/428072,"퓨전, 현대판타지","#현대판타지#게이트#아이템#힐링#헌터#동물#먼치킨",57.0,0.0,13,3,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/fusion-19.jpg
84,갓메이커,"자반K - 특수부대 출신의 스파이, 어느 날 비행기에 묶인 채 눈을 뜬다. <지금부터 서로 죽이시오> 못할 거 없다.",자반K,문피아,https://novel.munpia.com/413954,"판타지, 현대판타지","#판타지#현대판타지#SF#게임시스템#서바이벌#아포칼립스#크툴루#회귀#군인#신",14838.0,0.0,85,520,NOVEL,NOT,https://cdn1.munpia.com/v2/files/cover/2024/0508/14/ESz2Y9UJoAA
85,천재 흑기사의 강탈은 특별하다,모운 - 10년 만에 귀환해서 힘을 다 뺏겼지만 괜찮다. 이제 다시 강탈할 거니까.,모운,문피아,https://novel.munpia.com/396405,"현대판타지, 판타지","#판타지#현대판타지#게이트#게임시스템#귀환#던전#레이드",38244.0,0.0,93,775,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/newfantasy.jpg
86,지구 정복하러 왔다가 야구선수가 됐다,하루c - 프로야구 역사상 전무후무한 역대급 신인이 등장했다.  그런데 머리 상태가 좋지 않아 보인다. '자신이 신과 마법의 대륙에서 온 황세자라느니.' '용도 때려잡은 최강의 전사라느니.' '지구를 정복하러 왔다느니.' 아무래도 정상이 아닌 것 같은데. 선수의 에이전트 오태식은...,하루c,문피아,https://novel.munpia.com/424673,"스포츠, 판타지","#판타지#스포츠",4031.0,0.0,34,157,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/sports-05.jpg
87,죽은 줄 알았지?,"최고길동 - 21세기 현대 사회에서 본성을 숨기고 적성을 살리지 못한 채 암울한 인생을 살고 있던 주인공이 급작스레 죽어서 환생을 하게 됩니다.  정신적으로 하자가 있던 주인공은 새로 태어난 판타지 세상에서, 본바탕을 마음껏 드러내며, 깽판물의 주인공다운 행보를 걷게 됩니다.  바...",최고길동,문피아,https://novel.munpia.com/370557,퓨전,"#판타지#퓨전#마법#이세계#중세#차원이동#초능력#서양판타지",25368.0,0.0,61,547,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/fusion-16.jpg
88,종점으로 향한 여행,레몬망고 - 어느 날 몸이 좋지 않아 의사를 찾아갔더니 시한부 선고를 받았다. 메린은 죽음을 받아들이고 처음이자 마지막인 여행을 떠나기로 했다.,레몬망고,문피아,https://novel.munpia.com/420675,"판타지, 중·단편","#판타지#마법#여행#마법사#시한부",299.0,0.0,2,0,NOVEL,NOT,https://cdn1.munpia.com/tpl/novel/core/covers/fantasy-02.jpg
